Group	CMRA	CMTB
Fungi	-0.015046031	2.279199852
Fungi	-0.045550999	2.260528967
Fungi	-0.075978085	2.219563246
Fungi	-0.130772125	1.788646642
Fungi	-0.137834628	1.738186394
Fungi	-0.140901223	1.709608123
Fungi	-0.12881904	1.707544718
Fungi	-0.145431008	1.772898297
Fungi	-0.110870961	1.739098429
Fungi	-0.125539449	1.792006045
Fungi	-0.105419912	1.772979582
Fungi	-0.12853945	1.699186436
Fungi	-0.130929882	1.735650387
Fungi	-0.08841336	1.741173317
Fungi	-0.088397586	1.762608547
Fungi	-0.088106743	1.803589053
Fungi	-0.082407147	1.743807172
Fungi	-0.0827014	1.696326431
Fungi	-0.195535382	1.458949661
Fungi	-0.166573708	1.503860339
Fungi	-0.173103086	1.51225088
Fungi	-0.182153687	1.485972266
Fungi	-0.161118162	1.602840225
Fungi	-0.118999856	1.909764226
Fungi	-0.135462343	1.8552644
Fungi	-0.128224738	1.834777757
Fungi	-0.129613362	1.87013188
Fungi	-0.121439404	1.848313575
Fungi	-0.187149599	1.470574397
Fungi	-0.171027318	1.458325306
Fungi	-0.205968525	1.431040221
Fungi	-0.178377251	1.358680833
Fungi	-0.180986969	1.400749118
Fungi	-0.121594232	2.453480496
Fungi	-0.152400364	2.781820925
Fungi	-0.097505476	2.714812189
Fungi	-0.126847733	2.926580006
Fungi	-0.132926669	2.898984518
Fungi	-0.179179776	1.134123225
Fungi	-0.169693306	1.455869958
Fungi	-0.214838144	1.231588246
Fungi	-0.163903778	1.351455695
Fungi	-0.189906031	1.294664868
Fungi	-0.162976314	1.651933024
Fungi	-0.161480001	1.707930611
Fungi	-0.160939925	1.642141488
Fungi	-0.154045975	1.65126049
Fungi	-0.168613957	1.580483728
Fungi	-0.126461649	1.665396466
Fungi	-0.116871554	1.50711731
Fungi	-0.109198192	1.556699963
Fungi	-0.114514784	1.315405233
Fungi	-0.11346842	1.620442386
Fungi	-0.154896384	1.414540144
Fungi	-0.152592335	1.498432131
Fungi	-0.149208138	1.372520798
Fungi	-0.147666964	1.383418772
Fungi	-0.147385118	1.516457459
Fungi	-0.087282087	1.599920416
Fungi	-0.110823502	1.605050943
Fungi	-0.10475188	1.695214241
Fungi	-0.098236936	1.420701705
Fungi	-0.127503891	1.555300113
Fungi	-0.089568219	1.737083899
Fungi	-0.104464753	1.832314575
Fungi	-0.101096486	1.735900693
Fungi	-0.09075569	1.717390642
Fungi	-0.08587864	1.87003587
Fungi	-0.129683019	1.812562714
Fungi	-0.11769946	2.009140326
Fungi	-0.112005742	1.783983769
Fungi	-0.101332381	1.679435138
Fungi	-0.127011831	1.89529612
Fungi	-0.101913658	1.489141586
Fungi	-0.121021915	1.421845104
Fungi	-0.132369611	1.458915143
Fungi	-0.135202586	1.524237961
Fungi	-0.126684886	1.396387571
Fungi	-0.119992631	1.919273315
Fungi	-0.100506713	2.038506484
